CustomerID,Item,Amount,Date,Review,Payment,Month
4018,Handbag,4619.00,05-02-2023,2.999057217,Credit Card,2
4115,Tunic,2456.00,11-07-2023,2,Credit Card,7
4019,Tank Top,2102.00,23-03-2023,4.1,Cash,3
4097,Leggings,3126.00,15-03-2023,3.2,Cash,3
3997,Wallet,3003.00,27-11-2022,4.7,Cash,11
4080,Onesie,2914.00,11-12-2022,4.5,Credit Card,12
4055,Jacket,2571.00,08-07-2023,1.3,Cash,7
3973,Trousers,2419.00,10-11-2022,4.6,Cash,11
4044,Jeans,4771.00,19-05-2023,4.1,Cash,5
4010,Loafers,4233.00,11-06-2023,2.999057217,Credit Card,6
4108,Slippers,2356.00,19-03-2023,4.8,Credit Card,3
4067,Bowtie,4418.00,21-11-2022,3.4,Cash,11
4068,Pajamas,3728.00,09-12-2022,2.999057217,Credit Card,12
4102,Trench Coat,2130.00,29-01-2023,4.8,Cash,1
4044,Handbag,2122.00,01-08-2023,1.2,Credit Card,8
4096,Poncho,2383.00,10-04-2023,2.999057217,Credit Card,4
4017,Gloves,2895.00,17-07-2023,3.6,Credit Card,7
4001,Trench Coat,2952.00,13-06-2023,2.2,Cash,6
3976,Slippers,4069.00,18-06-2023,4.9,Credit Card,6
4103,Romper,4465.00,21-11-2022,2.999057217,Credit Card,11
4081,T-shirt,2108.00,25-03-2023,2.999057217,Cash,3
3986,Gloves,4298.00,05-04-2023,4.2,Cash,4
4108,Jeans,2814.00,11-02-2023,4.4,Credit Card,2
4109,Flip-Flops,4932.00,20-12-2022,4,Credit Card,12
4075,Tunic,4661.00,12-04-2023,1.2,Credit Card,4
4040,Shorts,4872.00,25-08-2023,3.8,Cash,8
4099,Blazer,4232.00,25-10-2022,2.7,Credit Card,10
3981,Boots,3718.00,10-09-2023,2.8,Credit Card,9
4070,Poncho,2902.00,04-08-2023,4.9,Cash,8
4002,Belt,3839.00,26-05-2023,1.8,Cash,5
4035,Tunic,4413.00,23-12-2022,1.2,Credit Card,12
4060,Boots,3139.00,26-01-2023,3.4,Credit Card,1
3974,Flip-Flops,2026.00,16-04-2023,4,Cash,4
4110,Hoodie,2653.00,11-10-2022,4.2,Credit Card,10
3984,Sweater,4859.00,19-12-2022,5,Cash,12
4109,Blouse,3731.00,02-03-2023,2.999057217,Credit Card,3
4054,Swimsuit,3393.00,28-02-2023,4.3,Cash,2
4040,Kimono,3138.00,12-05-2023,2.999057217,Credit Card,5
4083,Cardigan,2636.00,09-04-2023,1.7,Cash,4
4122,Socks,2881.00,22-02-2023,2.999057217,Credit Card,2
3972,Pants,3378.00,06-05-2023,3.6,Cash,5
3980,Pajamas,2418.00,26-05-2023,2.2,Credit Card,5
4012,Scarf,2379.00,29-05-2023,2.9,Credit Card,5
3992,Backpack,101.00,13-12-2022,1.3,Credit Card,12
4105,Dress,164.00,20-10-2022,3.2,Credit Card,10
4119,Boots,21.00,03-04-2023,3.9,Cash,4
3957,Camisole,147.00,04-11-2022,4.7,Cash,11
3994,Loafers,156.71,16-05-2023,3.9,Cash,5
3995,Bowtie,30.00,23-11-2022,4.1,Cash,11
4072,Poncho,170.00,15-10-2022,3.6,Credit Card,10
4093,Trousers,102.00,25-05-2023,2.1,Cash,5
4031,Blouse,190.00,14-01-2023,3,Cash,1
4056,Sneakers,156.71,02-11-2022,2.999057217,Credit Card,11
4114,Leggings,84.00,15-06-2023,3.8,Cash,6
4104,Backpack,69.00,27-05-2023,2.1,Cash,5
4071,Tunic,107.00,03-12-2022,1.5,Cash,12
4007,Dress,172.00,05-04-2023,1.9,Cash,4
4009,Flannel Shirt,51.00,16-04-2023,1.8,Cash,4
4038,Tie,63.00,13-02-2023,4.3,Cash,2
4033,Backpack,189.00,31-08-2023,4.9,Cash,8
4102,Cardigan,175.00,05-06-2023,3.6,Credit Card,6
4034,Tunic,156.71,01-07-2023,1.5,Credit Card,7
4068,Jeans,146.00,26-08-2023,1.1,Cash,8
4045,Gloves,51.00,27-01-2023,2.5,Credit Card,1
3979,Camisole,79.00,05-06-2023,1.3,Cash,6
4106,Trousers,173.00,07-09-2023,3.4,Credit Card,9
3959,Trousers,66.00,02-11-2022,4.5,Cash,11
4113,Boots,24.00,20-01-2023,1.2,Credit Card,1
4087,Scarf,18.00,21-11-2022,1.7,Credit Card,11
4060,Polo Shirt,112.00,08-06-2023,1.2,Cash,6
3989,Sweater,64.00,13-03-2023,3.2,Credit Card,3
4032,Wallet,155.00,08-03-2023,1.1,Credit Card,3
3972,Boots,90.00,26-01-2023,4.6,Credit Card,1
4051,Umbrella,137.00,30-06-2023,4.6,Cash,6
4097,Tank Top,174.00,10-10-2022,3.4,Cash,10
3970,Camisole,77.00,05-01-2023,2.4,Cash,1
3957,Gloves,156.71,16-05-2023,2.7,Cash,5
4100,Loafers,147.00,02-03-2023,3.9,Credit Card,3
4048,Pajamas,159.00,08-11-2022,1.2,Credit Card,11
3985,Flannel Shirt,159.00,05-03-2023,2.6,Cash,3
4029,Leggings,66.00,16-06-2023,3.7,Cash,6
3964,Hat,45.00,17-03-2023,4.8,Cash,3
4017,Bowtie,33.00,28-09-2023,3.3,Credit Card,9
4067,Handbag,38.00,25-05-2023,3.1,Cash,5
